Bus,X,Y
57486497918189795AT,-38.3216159831,-7.400684859299999
59653239919323985AT,-38.12548333,-7.2977704302
57403160918142651AT,-38.3291606997,-7.404960552
59378429919368832AT,-38.150384972,-7.293761596
57652195918307705AT,-38.3066114162,-7.3900091827
56584151917356588AT,-38.4032701288,-7.476180454
61392807920244706AT,-37.9680963332,-7.2141642978
56554274917175492AT,-38.4059556537,-7.4925647536
61240412920890722AT,-37.9820423558,-7.1557644987
57232012918024089AT,-38.3446573648,-7.4157147026
59076256919230401AT,-38.177734746700004,-7.3063331829
56720921917498633AT,-38.390903465,-7.463305416
59221199919246319AT,-38.164609606300004,-7.304855013099999
61286574920453645AT,-37.977759686199995,-7.195288576699999
61295911921241932AT,-37.9770871129,-7.123987412000001
57287538918076407AT,-38.3396285304,-7.410968113200001
60176385919557170AT,-38.0781435661,-7.2765723636
60935792920156948AT,-38.0094689038,-7.2221932077
59715989919351405AT,-38.119803916100004,-7.2952793117
59585311919283911AT,-38.131629661999995,-7.301406915299999
57314860918091945AT,-38.337154982,-7.4095589898
56564481917148192AT,-38.4050541167,-7.4950549727
59475674919323407AT,-38.1415681482,-7.2978535626
59737860919360864AT,-38.1178301354,-7.2944066186
58884958919189780AT,-38.195063856,-7.310025474600001
61226185920572527AT,-37.9832664626,-7.184552440399999
61346911921509443AT,-37.9725232424,-7.0997869605999995
61395767922152745AT,-37.9682286387,-7.0415950326
60846854920142573AT,-38.0175210224,-7.2235107747
60486269919908637AT,-38.0501433091,-7.2447270903
57926871918642766AT,-38.2817723544,-7.3596632060000005
61325575921693642AT,-37.974491915,-7.0831315000999995
60968675920160903AT,-38.0064932989,-7.221814647
59273531919290853AT,-38.1598740831,-7.3008324580999995
61342487922227950AT,-37.9730528882,-7.0348009962999996
57457507918173349AT,-38.3242405313,-7.40217642
57338904918105766AT,-38.3349781568,-7.4083056037
59640088919306313AT,-38.1266845814,-7.2993649138
57002081917781521AT,-38.3654596649,-7.4376811562
61221419920773936AT,-37.9837387703,-7.166330611
61399828920228087AT,-37.9674570699,-7.215665950700001
PCO21890819,-37.967456449400004,-7.214101893
58630221919090328AT,-38.2181245246,-7.3190614102
59643418919288972AT,-38.1263668294,-7.3009390034
60535640919945931AT,-38.0456698986,-7.2413561048
60627344920016426AT,-38.037386371,-7.2349510738
59176512919235502AT,-38.1686563703,-7.3058409651
56985233917764945AT,-38.366984362,-7.439182766799999
56560799917152816AT,-38.405361503099996,-7.4946150629999995
57082336917860721AT,-38.3581975081,-7.4305069638
61369974920300435AT,-37.970188711999995,-7.2091347853
60834125920139976AT,-38.0186733588,-7.2237481418
59979500919464697AT,-38.0959543352,-7.2849852425999995
59162723919233255AT,-38.169902285700005,-7.3060606991
58050416918711288AT,-38.2705890833,-7.3534472476
61354398920329393AT,-37.9716048808,-7.2065196009
61263390920496996AT,-37.9798806823,-7.1913793928
61236957920545186AT,-37.9822715156,-7.1870192008
59433157919343479AT,-38.1454230516,-7.2960453865999995
61343797920347992AT,-37.972555981300005,-7.204832685
58861636919185108AT,-38.1971724919,-7.3104507298
58685796919126728AT,-38.2130898077,-7.3157734636
57576707918240605AT,-38.3134419011,-7.3960890592999995
61056245920172460AT,-37.998564784,-7.220752039600001
61191906920181972AT,-37.986278323600004,-7.2198934559
59042174919233338AT,-38.1808226813,-7.3060731503
60302186919684074AT,-38.0667657141,-7.2650840191
59632223919293947AT,-38.1273818177,-7.3004909864
58789714919170843AT,-38.2036828002,-7.3117667419000005
61399094920245928AT,-37.967456449400004,-7.214101893
59093017919229270AT,-38.1762162,-7.3064327109
56771679917570219AT,-38.3863133577,-7.4568249076
57816438918601280AT,-38.2917718452,-7.3634315956
61536731922346996AT,-37.9554952836,-7.0239809497
61321304921730418AT,-37.9748856786,-7.079807603099999
58899814919201793AT,-38.193719095300004,-7.308936139299999
57171986917945412AT,-38.3500850684,-7.4228348439
61312084920407278AT,-37.975452717399996,-7.1994840391
61333474921314177AT,-37.9736982453,-7.117440638
58703501919135913AT,-38.2114873436,-7.3149398793
61029772920169051AT,-38.0009597596,-7.2210799979999996
60643028920028177AT,-38.0359592998,-7.2338967986
59289836919313646AT,-38.1584009109,-7.2987681111
59364914919375265AT,-38.1516067361,-7.2931680147
57325788918098247AT,-38.3361584388,-7.4090000476
60290508919668482AT,-38.0678321877,-7.2664876864
61298077920432215AT,-37.976713613600005,-7.1972244726
61301035921266826AT,-37.9766273309,-7.1217323224
58201528918832977AT,-38.2569165913,-7.342417920700001
58256325918866147AT,-38.2519658334,-7.3393978704
59519829919282669AT,-38.1375533056,-7.3015184861
61356929921367222AT,-37.9715731967,-7.1126464079
PCO21890833,-37.967456449400004,-7.214101893
61309474921279287AT,-37.9758643533,-7.1206010652
60675641920053273AT,-38.0330103446,-7.2316207116
56846358917635543AT,-38.3795513723,-7.4509041202
57630783918273161AT,-38.3085565589,-7.3931261816
61349850922015970AT,-37.9723440992,-7.0539720277999995
57093421917872373AT,-38.3571945428,-7.4294515608000005
61388509922267804AT,-37.968894471599995,-7.031187253200001
59530793919277735AT,-38.136567202600006,-7.3019749937
59603900919282939AT,-38.1299455753,-7.3014915883
61234266920854102AT,-37.9825915628,-7.1590776317
61549027922350821AT,-37.954379733,-7.0236466222
56622203917393027AT,-38.3998369462,-7.4728702851
60557033919962395AT,-38.0437354183,-7.2398629343
58296129918901679AT,-38.248366366999996,-7.336179052
PCO12909977,-37.967456449400004,-7.214101893
61351860922254254AT,-37.9722095822,-7.0324200717
60364352919764617AT,-38.061149966799995,-7.2577875774
57949484918650922AT,-38.2797247654,-7.3589221988
58223116918845204AT,-38.2549700546,-7.3412963608
58413513918989733AT,-38.2377444518,-7.3281958152
61374343922262433AT,-37.9701758382,-7.031675853099999
57701059918408299AT,-38.302212154,-7.3808995476999995
59551105919278051AT,-38.1347272554,-7.3019428888
61323390921711200AT,-37.974678858800004,-7.081542157
56557569917166919AT,-38.4056559726,-7.4933398028
56567824917345439AT,-38.4047571614,-7.4771793462
56891330917673674AT,-38.3754816064,-7.4474499798
57682315918362669AT,-38.303890068600005,-7.385033363300001
59151083919231927AT,-38.1709565159,-7.3061827542
60051449919495318AT,-38.0894426033,-7.282202595399999
57689102918374325AT,-38.3032899141,-7.3839720617
56557376917336818AT,-38.4057048004,-7.477962046900001
59838186919403884AT,-38.1087498084,-7.290497736
61269015921106842AT,-37.979495702399994,-7.136212143
60374187919777722AT,-38.0602616093,-7.2566004337
61318471921855028AT,-37.975152914,-7.0685346463
57020188917799401AT,-38.3638213313,-7.4360616076
61211945920652082AT,-37.984572545300004,-7.177356266
56679800917457416AT,-38.3946142243,-7.467048480700001
56755911917540934AT,-38.3877389918,-7.4594763366
61237794920874819AT,-37.9822619261,-7.157205503999999
61284911921192982AT,-37.9780733274,-7.1284167898
59461631919333443AT,-38.1428340303,-7.296936194700001
58144036918799281AT,-38.2621202189,-7.3454743386
59620762919281691AT,-38.128417882600004,-7.3016015214
ITO12907815,-38.127380888699996,-7.300222081
57790940918568152AT,-38.2940772959,-7.3664317151
58065470918726394AT,-38.2692274189,-7.3520786764
61210775920711766AT,-37.9846903736,-7.171957044
56550050917326889AT,-38.4063686152,-7.4788624059
59811451919392543AT,-38.1111696412,-7.2915282691
59023972919234801AT,-38.1824706161,-7.3059581926
60813763920135514AT,-38.0205210204,-7.2241419351
59331483919376554AT,-38.154632283000005,-7.2930839577999995
61249932920961347AT,-37.9811801317,-7.149377078300001
59927122919442349AT,-38.1006948434,-7.2870160143
59696437919342819AT,-38.1215735247,-7.2960593432000005
61453936922330548AT,-37.9629912794,-7.0254867646
61273279921139677AT,-37.9791159978,-7.1332409052
60458153919886153AT,-38.0526870703,-7.2467672626
61229980920558345AT,-37.9829194816,-7.185835718099999
61376333920284435AT,-37.969596425700004,-7.2105744129
61546321922435265AT,-37.9546417469,-7.0160096801
60597732919993597AT,-38.0400639981,-7.2370216136000005
58835100919179942AT,-38.199572725799996,-7.310936460800001
61539420922376038AT,-37.9552690034,-7.0213675836
58382096918964734AT,-38.2405862897,-7.3304613432000005
60584927919983775AT,-38.041213080700004,-7.2379238863
60250240919616167AT,-38.0714696927,-7.271226791599999
61340451920207212AT,-37.9728342369,-7.2175521789
59511967919289840AT,-38.1382647458,-7.3008728664
60722323920088927AT,-38.0287892362,-7.2283869717
61383759922179717AT,-37.9693200272,-7.039161387999999
61309802921762613AT,-37.975919086,-7.0768955516
59450655919340143AT,-38.1438321761,-7.2963306353999995
56963950917743231AT,-38.3689105741,-7.4411516804
58318225918923634AT,-38.246366803600004,-7.334188953099999
57912710918638322AT,-38.2830583678,-7.3600532123
58432752919005520AT,-38.2360028464,-7.3267662753
60143571919540272AT,-38.081106307,-7.2781197848
59945776919450005AT,-38.099006488600004,-7.2863201872
58010740918672297AT,-38.2741858274,-7.356967655399999
58359043918949606AT,-38.242663931399996,-7.331844942999999
61211239920684755AT,-37.9846285407,-7.1744010964
60895893920151943AT,-38.0130814867,-7.2226537172
58940931919211215AT,-38.189990576199996,-7.308090719
60876427920149327AT,-38.0148465384,-7.2228798463
61323881921974111AT,-37.9747004282,-7.057758091799999
59278781919299315AT,-38.1593999291,-7.3000661961
56863931917650076AT,-38.3779611731,-7.4495877007
61394304920242173AT,-37.9679602388,-7.2143930872
56652865917427142AT,-38.3970514787,-7.4697901863
60123495919529844AT,-38.0829228926,-7.2790666513
61250316920182642AT,-37.980990522199995,-7.219792321799999
60224249919582511AT,-38.0738156201,-7.274273415900001
59137430919229974AT,-38.1721929983,-7.3063616708
57831291918618784AT,-38.2904369032,-7.3618342809
59059752919231820AT,-38.1792300602,-7.306207558400001
61318969921838743AT,-37.9751188,-7.070004848
59114676919227709AT,-38.1742536698,-7.3065847872
58716812919142639AT,-38.210282552399995,-7.3143294033
59877048919420559AT,-38.1052267943,-7.288995858300001
ITO12907816,-38.127380888699996,-7.300222081
59727378919356400AT,-38.1187788572,-7.2948122299
61394444922111098AT,-37.968340276999996,-7.0453576171000005
60198564919568932AT,-38.0761303006,-7.2755174481
56600868917368168AT,-38.4017662411,-7.475120209
61153788920181735AT,-37.9897305304,-7.2199080744
57613463918262208AT,-38.3101220187,-7.394117605
61322784921965104AT,-37.9747987592,-7.058576205
61371874922045925AT,-37.9703682302,-7.0512503411
61556384922415766AT,-37.9537411568,-7.0177688161
60339929919732773AT,-38.063367584299996,-7.2606633908000004
58612402919085538AT,-38.2197322157,-7.3195106602
PCO12909978,-37.967456449400004,-7.214101893
61262447921057361AT,-37.980066119899995,-7.140690618400001
60405590919818187AT,-38.0574363891,-7.252925880199999
61547616922395721AT,-37.9545165352,-7.0195859529
58461863919022970AT,-38.2333675351,-7.3251808092
59642618919319343AT,-38.1264559693,-7.2981831281
59764481919372459AT,-38.1154206403,-7.2933530736000005
61342365921550718AT,-37.972928735,-7.0960531104
60263425919632996AT,-38.070267105700005,-7.2697110589
61508087922341056AT,-37.9580839551,-7.0245380608
58669263919119183AT,-38.2145939059,-7.3164462329
59397023919360419AT,-38.1486991838,-7.2945193702
56521760917200924AT,-38.4089174953,-7.4902764808
61243846920916093AT,-37.9817364793,-7.153469321
60315615919699941AT,-38.0655523083,-7.2636463998
58131560918792471AT,-38.26325823,-7.346080602100001
58501062919045946AT,-38.2298199093,-7.3230998194
61333142921629895AT,-37.9737796582,-7.088893818
59683292919337169AT,-38.1227632756,-7.296572687
60397555919807443AT,-38.058162231,-7.2538992354
60518534919933090AT,-38.0472256053,-7.242509301
57851802918626068AT,-38.2885750791,-7.3611703987
56941294917721720AT,-38.3709602603,-7.443097967999999
61362263922031620AT,-37.9712234288,-7.0525540927999995
57707308918438400AT,-38.3016362641,-7.378179853
IBR12877178,-38.4050541167,-7.4950549727
58179875918820382AT,-38.25887642,-7.3435603888
61266031921084546AT,-37.9797470341,-7.1382311623
57061166917840266AT,-38.3601029539,-7.4323701406
57775135918548371AT,-38.2955177068,-7.3682140706
56789611917586846AT,-38.384688675700005,-7.455316794
61344601921531019AT,-37.972722331599996,-7.0978343310000005
57971140918658179AT,-38.2777684,-7.3582489861
61244537920531587AT,-37.9815823319,-7.1882476324
61128021920181893AT,-37.9920631677,-7.219913411
58761748919164373AT,-38.206219866,-7.3123426777
57712947918449284AT,-38.3011395766,-7.3771876373000005
61218110920756121AT,-37.9840206269,-7.167945046
61270579920188065AT,-37.9791582848,-7.2192981083
59788276919382136AT,-38.1132669888,-7.2924736796000005
57759454918529622AT,-38.296936426,-7.3699129916
57659486918321129AT,-38.305965381,-7.3887869914
61398561920244982AT,-37.9675752786,-7.214138158099999
61335213921612450AT,-37.9735886557,-7.0904712109000005
58987429919225583AT,-38.1857838966,-7.3067694557000005
61554970922434766AT,-37.953858689200004,-7.0160530670000005
IBR12877177,-38.4050541167,-7.4950549727
61211507920674642AT,-37.9846022436,-7.1753157088
56838450917629689AT,-38.3802674503,-7.4514347238
59961040919456980AT,-38.0976309179,-7.2856732779
61363838922258451AT,-37.9711260556,-7.032038094600001
58644747919099626AT,-38.2168126728,-7.3182195719
60796045920127956AT,-38.0221198657,-7.224842702999999
57501632918198427AT,-38.3202457814,-7.3999019914
60734812920098483AT,-38.0276599611,-7.2275202618
61357591921418827AT,-37.9715380324,-7.1079805444
61328955921664765AT,-37.9741801182,-7.0857425979999995
56514772917224060AT,-38.409556005,-7.488178465
56763336917554265AT,-38.3870559018,-7.458277795700001
59632239919296920AT,-38.127380888699996,-7.300222081
59668238919330496AT,-38.1241257773,-7.2971788912
58277426918884881AT,-38.2500578857,-7.3377009981
58090620918750769AT,-38.2669524444,-7.3498702193
61307587921811100AT,-37.9761438751,-7.0725073708
59415085919351818AT,-38.1470615507,-7.2952942314
58485261919036090AT,-38.2312490291,-7.3239955496
60349688919744899AT,-38.062485915100005,-7.259564903099999
59498115919303192AT,-38.139521954,-7.2996675050999995
60235125919596488AT,-38.072835146799996,-7.273009494299999
60104987919520051AT,-38.084597571399996,-7.2799557903
60987873920163511AT,-38.004755189099996,-7.2215749777
61173388920182056AT,-37.9879554873,-7.2198751088
58821399919177519AT,-38.2008135141,-7.311157821799999
61220441920182168AT,-37.9836941999,-7.2198410398
57223141918012632AT,-38.3454596797,-7.4167490299
57046883917827117AT,-38.3614056992,-7.4335509747
60959538920159970AT,-38.0073188793,-7.2219152101
ITO12907820,-38.127380888699996,-7.300222081
61388781920255185AT,-37.968463093800004,-7.213217359400001
56665151917439299AT,-38.3959502598,-7.4686793662
58040425918701548AT,-38.2715029987,-7.3543194164
61316498920200850AT,-37.975002175,-7.2181324601
60030062919486620AT,-38.091383937399996,-7.2829799127
61334069921622084AT,-37.973694163299996,-7.0896000961
61490188922337775AT,-37.9597063959,-7.0248242143
58746698919157674AT,-38.2075775428,-7.312964739600001
56907950917689568AT,-38.3739678037,-7.4460209526
57258642918060282AT,-38.342245365100005,-7.412430802
61214935920734931AT,-37.9843182107,-7.169859884299999
61349411921337765AT,-37.9722612222,-7.1153062040999995
60160891919550069AT,-38.079545800700004,-7.2772175714
61318126921866337AT,-37.975186402,-7.067511874299999
56745175917528334AT,-38.388709628200004,-7.4606163001
56636049917408552AT,-38.398573155,-7.471473781
58167609918813296AT,-38.2599866358,-7.344203155900001
59904618919432227AT,-38.1027373279,-7.2879222854
57126265917903526AT,-38.3542220541,-7.4266290224
60659415920040812AT,-38.0344775444,-7.2327508726
57590115918248310AT,-38.3122280826,-7.3953902573
61320931920390831AT,-37.9746355079,-7.2009627889
60425041919843596AT,-38.0556793998,-7.2506240726
61219191920596501AT,-37.9839046521,-7.182385524
61370361920215740AT,-37.9701278828,-7.216774953300001
61264532921073179AT,-37.9798804908,-7.1392595461
61389571922087146AT,-37.9687764716,-7.0475237457
60689773920063948AT,-38.0317324628,-7.2306524862
61353430921352981AT,-37.9718871492,-7.113935131900001
61405871922274902AT,-37.967324124,-7.030541814299999
60387293919793857AT,-38.0590889833,-7.2551296941
61255734920510334AT,-37.9805767063,-7.1901745873000005
PCO12909981,-37.967456449400004,-7.214101893
58538896919062788AT,-38.2263877627,-7.321579886
61425306922297629AT,-37.965580306199996,-7.0284730138
61013774920166555AT,-38.0024100936,-7.2212945412
61227367920809352AT,-37.9832073331,-7.1631264129
58572300919071944AT,-38.2233630279,-7.320746515700001
59256277919268480AT,-38.161433306999996,-7.3028589733
ITO12907813,-38.127380888699996,-7.300222081
59240740919248203AT,-38.1628443559,-7.3046829638
61384252920265194AT,-37.968875309699996,-7.2123130299
61331704921643668AT,-37.9739043726,-7.0876478487
60748818920109102AT,-38.0264005946,-7.2265444659
61340485921999068AT,-37.9732009076,-7.0554951124
58333557918932940AT,-38.2449780282,-7.3333440751
61086767920176499AT,-37.995799366,-7.220395036599999
61378985922189349AT,-37.96975287,-7.0382932526
59865489919415692AT,-38.1062786198,-7.2894248511
ITO265081589,-38.127380888699996,-7.300222081
60069989919503615AT,-38.087764732800004,-7.2814487746
61278674921163850AT,-37.978632239899994,-7.1310528727
59344677919376351AT,-38.153443697600004,-7.2930872511
56558977917161134AT,-38.4055276538,-7.4938628998
61316258921912815AT,-37.975379268800005,-7.0633079492999995
58098810918758986AT,-38.2662219979,-7.349115566699999
60010304919477825AT,-38.0931664171,-7.2837922694
60276098919649458AT,-38.0691337873,-7.2682110221
58557477919067578AT,-38.2247052031,-7.321143734600001
59310324919345965AT,-38.156562415100005,-7.295833232000001
60187519919563074AT,-38.077129676700004,-7.2760493242
60705883920076353AT,-38.0302757733,-7.229527404700001
61099566920177683AT,-37.9946421877,-7.220271021
59636203919283768AT,-38.1270248687,-7.3013974922000004
60917937920154594AT,-38.0110855287,-7.2224096241
57386355918132902AT,-38.3306750177,-7.405857221000001
60087681919511333AT,-38.0861697617,-7.2807343712
59733058919358820AT,-38.118259029200004,-7.2946056277
60326670919715366AT,-38.0645538576,-7.262249200399999
59995923919471872AT,-38.0944679996,-7.2843333087
58517542919056226AT,-38.2283272676,-7.3221635441999995
60152272919545193AT,-38.0803190702,-7.277673096900001
61212137920622204AT,-37.9845490712,-7.1800603412
61333536920367400AT,-37.9735019539,-7.2030862411
61252135920979327AT,-37.9809986512,-7.1477486642
56561391917175123AT,-38.4053105862,-7.4925972596
60439682919863072AT,-38.0543568802,-7.2488596936
58956395919219232AT,-38.1885958338,-7.3073494204
57994203918666166AT,-38.2756753871,-7.357536831900001
ITO12907821,-38.127380888699996,-7.300222081
59777070919377579AT,-38.1142755371,-7.2929011238
61385318922066554AT,-37.9691565808,-7.049384408
58076355918736767AT,-38.268252847,-7.3511284356
57806830918588856AT,-38.2926405759,-7.364556739199999
61256456921012630AT,-37.9806139599,-7.1447355387
56809624917604922AT,-38.382877139899996,-7.453679065599999
61246675920936530AT,-37.9814700893,-7.1516222951
57871240918629533AT,-38.2868134574,-7.360854001900001
61320759921295752AT,-37.974833868699996,-7.119117745
57428749918156644AT,-38.3268439508,-7.4036913622
57640271918286164AT,-38.307701042,-7.3919515151
56547516917180531AT,-38.4065687584,-7.4921097892
57557955918230682AT,-38.3151466308,-7.3969765714
56515506917280440AT,-38.409495717199995,-7.4830720378999995
61361247921386183AT,-37.9712005303,-7.1109298386
61545419922349159AT,-37.9547108481,-7.0237840224
61362232920314290AT,-37.9708795703,-7.2078770799
ITO12907818,-38.127380888699996,-7.300222081
PCO12909976,-37.967456449400004,-7.214101893
57366764918121398AT,-38.332455813,-7.4068878819
57183535917959140AT,-38.3490414564,-7.4215927632000005
59568449919281502AT,-38.1331567171,-7.3016277393
58025614918686953AT,-38.2728325717,-7.3556520201
59301573919333132AT,-38.1573409906,-7.2970036465999994
58594457919079462AT,-38.2213569453,-7.320063047200001
61317184921892104AT,-37.9752768208,-7.065181569
61274718920475367AT,-37.9788377754,-7.193326337799999
61337222921593880AT,-37.9734030401,-7.0921503674
61399166920247758AT,-37.9675210558,-7.2138869622
61068812920174153AT,-37.99742503,-7.2206107948
61339871921571678AT,-37.9731587483,-7.094157889
57196661917977769AT,-38.3478546957,-7.419906259199999
61353049921456745AT,-37.971956905999996,-7.1045519789
60502526919920618AT,-38.0486643209,-7.2436518474
60860318920145784AT,-38.0163022396,-7.223217727000001
58921611919203199AT,-38.1917394608,-7.3088189001
56541136917185545AT,-38.407147598099996,-7.4916570372
60776848920120204AT,-38.0238623813,-7.2255340964
57530094918214848AT,-38.3176690996,-7.3984127429
56694283917472546AT,-38.3933139206,-7.4656679242
61362600920213729AT,-37.9708295366,-7.2169582378
57252238918055767AT,-38.3428277661,-7.4128423156
61259141921031503AT,-37.980360298899996,-7.143029997799999
57742571918500526AT,-38.2984625881,-7.372548253400001
61349402921490324AT,-37.9722794694,-7.1015140124
60572536919974016AT,-38.042342303699996,-7.238797441799999
IBR12877176,-38.4050541167,-7.4950549727
56927952917709059AT,-38.3721677809,-7.4442449912
61409651922278845AT,-37.9669935062,-7.0301747820000005
